"Feature Code",DATE,FB_NO,FB_PG,NUMBER,COMMENT,WEIGHT,TYPE,JOINT_ID,EVENT_TYPE,DEGREE,DIRECTION,DEGREE_2,DIRECTION_2,COVER,LOCATION,NO_WIRES,VENTED,CROSSING_TYPE,OD,WALL_THICKNESS,ANGLE,ID,QUALITY,MATERIAL,OWNER,CLEARANCE,SERIAL_NUMBER,MODEL_NUMBER,NO_OF_MEMBERS,ELECTRIC,CONDITION,HEIGHT,ANGLE,PHOTO_NO,COATING,HEAT,PLACEMENT,MATERIAL,INVERT,SACK_WEIGHT,
AERIAL_MARKER,MM/DD/YYYY,100,1000,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ANODE,MM/DD/YYYY,101,1001,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ANOMALY,MM/DD/YYYY,102,1002,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
BEND,MM/DD/YYYY,103,1003,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
BORE,MM/DD/YYYY,104,1004,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CAD_WELD,MM/DD/YYYY,105,1005,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CASING,MM/DD/YYYY,106,1006,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CHECK_SHOT,MM/DD/YYYY,107,1007,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CONNECTIONS,MM/DD/YYYY,108,1008,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CONTROL,MM/DD/YYYY,109,1009,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CULTURAL,MM/DD/YYYY,110,1010,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
DRAIN,MM/DD/YYYY,111,1011,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
FABRICATION,MM/DD/YYYY,112,1012,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
FENCE,MM/DD/YYYY,113,1013,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
FLANGE,MM/DD/YYYY,114,1014,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
FOREIGN_LINE,MM/DD/YYYY,115,1015,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
GROUND,MM/DD/YYYY,116,1016,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
GROUNDING_ROD,MM/DD/YYYY,117,1017,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
HYDROTEST,MM/DD/YYYY,118,1018,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ISOLATION,MM/DD/YYYY,119,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
MATTING,MM/DD/YYYY,120,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
METER,MM/DD/YYYY,121,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
MILE_POST,MM/DD/YYYY,122,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
MONUMENTS,MM/DD/YYYY,123,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
PIPE_PROTECTION,MM/DD/YYYY,124,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
PIPE_SUPPORTS,MM/DD/YYYY,125,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
RAILROAD,MM/DD/YYYY,126,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
RECTIFIER,MM/DD/YYYY,127,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
REDUCER,MM/DD/YYYY,128,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
REFERENCE_CELL,MM/DD/YYYY,129,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
RIPRAP,MM/DD/YYYY,130,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ROAD,MM/DD/YYYY,131,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ROCK_DITCH,MM/DD/YYYY,132,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
SIGN,MM/DD/YYYY,133,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
SOIL_ACCESS_TUBE,MM/DD/YYYY,134,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
SOIL_STABILIZATION,MM/DD/YYYY,135,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
STYKPT,MM/DD/YYYY,136,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
STOPPER,MM/DD/YYYY,137,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
STRUCTURE,MM/DD/YYYY,138,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TALLY,MM/DD/YYYY,139,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TAP,MM/DD/YYYY,140,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TBD,MM/DD/YYYY,141,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TEE,MM/DD/YYYY,142,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TEST_STATION,MM/DD/YYYY,143,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TRANSITION,MM/DD/YYYY,144,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
TRENCH_BREAKER,MM/DD/YYYY,145,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
VALVE,MM/DD/YYYY,146,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
VENT,MM/DD/YYYY,147,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
WARNING_SIGN,MM/DD/YYYY,148,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
WATER_BAR,MM/DD/YYYY,149,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
WEIGHT,MM/DD/YYYY,150,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
WELD,MM/DD/YYYY,151,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
WELD_TEMPORARY,MM/DD/YYYY,152,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ZINC_RIBBON,MM/DD/YYYY,153,1019,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
